id,id_order,product_id,product_quantity,sku,unit_price,date,unit_price_total,price_segment,order_id,created_date,name,desc,price,discount,discount_percent,category
1119116,299545,0,1,OWC0100,47.49,2017-01-01 01:46:16,47.49,low,299545,2017-01-01 01:51:47,OWC In-line Digital Temperature Sensor Kit HDD iMac 2011,Kit temperature sensor for HDD iMac 21 inch and 27 inch 2011.,60.99,13.5,22.134776192818496,Desktops
1119119,299546,0,1,IOT0014,18.99,2017-01-01 01:50:34,18.99,low,299546,2017-01-01 01:57:34,iOttie Easy View 2 Car Black Support,IPhone car holder 7 plus / 7/6 Plus / 6 / 5s / 5c / 4S,22.95,3.960000000000001,17.25490196078432,Smartphones & Accessories
1119120,295347,0,1,APP0700,72.19,2017-01-01 01:54:11,72.19,medium,295347,2017-01-01 02:02:38,"Apple 85W MagSafe 2 charger MacBook Pro screen Retina 15 ""(OEM)",Apple MagSafe 2 Charger for MacBook Pro 15-inch Retina 85W unboxed,89.0,16.810000000000002,18.887640449438205,Laptops
1119134,299556,0,1,CRU0039-A,60.9,2017-01-01 02:20:14,60.9,medium,299556,2017-01-01 02:30:08,(Open) Crucial 240GB SSD 7mm BX200,SSD hard drive and high-speed performance with 555MB for Mac and PC.,76.99,16.089999999999996,20.898818028315365,Storage
1119145,299561,0,1,PEB0015,142.49,2017-01-01 02:38:50,142.49,medium,299561,2017-01-01 02:39:47,Pebble Smartwatch Time Steel Black,Bluetooth Smart Watch with steel case leather strap color display compatible with iPhone,299.99,157.5,52.501750058335276,Smartphones & Accessories
1119154,299563,0,1,BEA0065,256.49,2017-01-01 02:42:05,256.49,medium,299563,2017-01-01 02:47:58,Solo3 Beats Headphones Wireless On-Ear Rose Gold,Bluetooth helmets integrated chip W1 40h battery life for iPhone and iPad Apple Watch Mac,299.95,43.45999999999998,14.489081513585592,Smartphones & Accessories
1119155,299564,0,1,SAT0010,18.99,2017-01-01 02:43:37,18.99,low,299564,2017-01-01 02:50:18,Satechi Aluminum Silver Mouse,Aluminum mat with ultra soft non-slip surface finish for Mac,29.99,11.0,36.67889296432144,Keyboards & Mice
1119181,299571,0,1,SYN0139,166.24,2017-01-01 04:00:44,166.24,medium,299571,2017-01-01 12:07:29,Synology DS216j NAS Server Mac and PC,NAS server 2 bays and 2 USB 3.0 high-speed ports domestic / small biz use for Mac and PC.,175.99,9.75,5.540087504971873,Networking & Servers
1119188,299578,0,1,LOG0191,142.49,2017-01-01 08:21:26,142.49,medium,299578,2017-01-01 13:00:05,Ultimate Ears Boom 2 Bluetooth Portable Speaker Black / Gray,Bluetooth portable speaker waterproof black color for iPhone iPad and iPod,209.0,66.50999999999999,31.822966507177032,Smartphones & Accessories
1119189,299579,0,1,LGE0031-A,127.08,2017-01-01 08:23:14,127.08,medium,299579,2017-01-01 09:09:39,"Open - LG Monitor 24 ""W 5ms HDMI 24MP58VQ-White",Monitor 24-inch FHD IPS refitted HDMI connection 5ms response time thin frame.,159.0,31.92,20.07547169811321,Monitors
1119202,299586,0,1,GRT0456,42.99,2017-01-01 09:18:52,42.99,low,299586,2017-01-01 09:21:29,Griffin iTrip Aux Lightning,Stand with Charger and Cable Lightning Assistant,44.99,2.0,4.445432318292954,Cables & Chargers
1119215,299597,0,1,PEB0015,142.49,2017-01-01 09:53:56,142.49,medium,299597,2017-01-01 19:19:57,Pebble Smartwatch Time Steel Black,Bluetooth Smart Watch with steel case leather strap color display compatible with iPhone,299.99,157.5,52.501750058335276,Smartphones & Accessories
1119253,299608,0,1,ICA0079,66.49,2017-01-01 10:51:36,66.49,medium,299608,2017-01-01 10:56:05,"Incase Reform Tensaerlite case for MacBook 13 ""Gray",briefcase tensaerlite absorbs impacts Macbook 13 inches.,89.95,23.460000000000008,26.081156197887722,Laptops
1119254,299609,0,1,PAR0071,474.05,2017-01-01 10:51:38,474.05,high,299609,2017-01-01 10:56:02,Parrot Bebop 2 White + Command FLYPAD and FPV Glasses,cuadricóptero wireless remote control with 25 minutes of autonomous control FLYPAD and FPV Glasses for iPhone iPad and iPod. Parrot,699.0,224.95,32.181688125894134,Smartphones & Accessories
1119255,299610,0,1,APP0023,55.99,2017-01-01 10:52:42,55.99,medium,299610,2017-01-01 11:00:40,Apple Mac Keyboard Keypad Spanish,USB ultrathin keyboard Apple Mac Spanish.,59.0,3.009999999999998,5.1016949152542335,Keyboards & Mice
1119257,299610,0,1,APP1214,84.99,2017-01-01 10:53:10,84.99,medium,299610,2017-01-01 11:00:40,Apple Magic Mouse 2,Bluetooth Apple Wireless Mouse,89.0,4.010000000000005,4.505617977528096,Keyboards & Mice
1119287,299623,0,1,OBL0007,37.05,2017-01-01 11:29:39,37.05,low,299623,2017-01-01 11:35:46,Tapp Oblumi Intelligent thermometer App,digital infrared thermometer with App for iPhone and iPad.,39.95,2.9000000000000057,7.259073842302892,Smartphones & Accessories
1119306,299634,0,1,SYN0146,369.54,2017-01-01 11:50:06,369.54,high,299634,2017-01-01 12:34:20,Synology NAS Server DS416Play Mac and PC,4-bay NAS served 1GB RAM transcodifiación 4K for Mac and PC,434.99,65.44999999999999,15.0463229039748,Memory & RAM
1119314,299637,0,1,TOS0007,53.19,2017-01-01 11:55:51,53.19,medium,299637,2017-01-01 12:19:27,"Toshiba 1TB 25 ""SATA 5400rpm hard drive Mac and PC",internal hard drive Mac and PC 1TB and 95 mm (MQ01ABD100).,62.99,9.800000000000004,15.55802508334657,Storage
